frame_index,timestamp_sec,mouth_ratio,face_detected
1,0.06256270408630371,,0
2,0.22940492630004883,,0
3,0.2626466751098633,,0
4,0.2965266704559326,,0
5,0.322037935256958,,0
6,0.3562808036804199,,0
7,0.3887958526611328,,0
8,0.42527174949645996,,0
9,0.4562408924102783,,0
10,0.4940168857574463,,0
11,0.5924718379974365,,0
12,0.625166654586792,,0
13,0.6580188274383545,,0
14,0.6915388107299805,,0
15,0.7261168956756592,,0
16,0.7570178508758545,,0
17,0.791550874710083,,0
18,0.8242537975311279,,0
19,0.8584198951721191,,0
20,0.8937578201293945,,0
21,0.9259757995605469,,0
22,0.9602618217468262,,0
23,0.9926426410675049,,0
24,1.027318000793457,,0
25,1.0591259002685547,,0
26,1.0940496921539307,,0
27,1.1265778541564941,,0
28,1.1598427295684814,,0
29,1.1957356929779053,,0
30,1.2270598411560059,,0
31,1.2613818645477295,,0
32,1.2944238185882568,,0
33,1.3286728858947754,,0
34,1.360724925994873,,0
35,1.395737886428833,,0
36,1.4287388324737549,,0
37,1.4623596668243408,0.43083023243634155,1
38,1.4947876930236816,0.2990096339998245,1
39,1.5279879570007324,0.2690618205984615,1
40,1.5629377365112305,0.27518419517235027,1
41,1.6021466255187988,0.25914721735638035,1
42,1.6343238353729248,0.29691662286680726,1
43,1.6676948070526123,0.2891468396090377,1
44,1.7009239196777344,0.37964669568688536,1
45,1.735076665878296,0.3616562408550559,1
46,1.767333745956421,0.33967985281267765,1
47,1.7985646724700928,0.22835320735419185,1
48,1.8314340114593506,0.16720669623811327,1
49,1.867856740951538,0.2931596686842059,1
50,1.8998117446899414,0.288631226788684,1
51,1.935133934020996,0.26580677449977436,1
52,1.9712238311767578,0.20412245725420938,1
53,2.0034706592559814,0.21774269339608499,1
54,2.0366337299346924,0.13135736268158435,1
55,2.0680010318756104,0.1523752232146275,1
56,2.108538866043091,0.16306288952354198,1
57,2.129694938659668,0.02179596593518599,1
58,2.1627469062805176,0.026243288760545193,1
59,2.195314884185791,0.019543541130881657,1
60,2.2308788299560547,0.020085833458711583,1
61,2.26464581489563,0.016914797367163583,1
62,2.296689748764038,0.007534425735595214,1
63,2.3309550285339355,0.01053072686384591,1
64,2.3632309436798096,0.007277783776947194,1
65,2.3962907791137695,0.011077394416077059,1
66,2.4298949241638184,0.016844930268514666,1
67,2.4623167514801025,0.014158247887318839,1
68,2.4959888458251953,0.019391412485723177,1
69,2.529228687286377,0.009821420115729139,1
70,2.5640387535095215,0.013400885984091289,1
71,2.596803665161133,0.13468933619263945,1
72,2.6309750080108643,0.37523262671296775,1
73,2.664433717727661,0.5557630531497089,1
74,2.6964638233184814,0.5890530895598909,1
75,2.7315216064453125,0.5437560884180491,1
76,2.7651848793029785,0.7160659845806178,1
77,2.797893762588501,0.7812416911923952,1
78,2.829577922821045,0.6804226317536872,1
79,2.8628427982330322,0.8559481704396239,1
80,2.897364854812622,0.8483253630578408,1
81,2.9311587810516357,0.8007295435094697,1
82,2.963390827178955,0.8950242357993747,1
83,2.9977457523345947,0.9362585725189339,1
84,3.0295259952545166,0.9716549309436053,1
85,3.065051794052124,1.0298929536918657,1
86,3.096327781677246,1.0917206735127258,1
87,3.129361867904663,1.1596671052252259,1
88,3.1629879474639893,1.0462237004176347,1
89,3.1968986988067627,0.9964002165055372,1
90,3.229887008666992,0.9054736470542966,1
91,3.2631309032440186,0.8745131379020288,1
92,3.296651601791382,0.7899582655246187,1
93,3.3292348384857178,0.9053395742228874,1
94,3.3627068996429443,0.8825310348901256,1
95,3.396941661834717,0.9256157646735054,1
96,3.430208921432495,0.8424535731845011,1
97,3.4637997150421143,0.7090088929964048,1
98,3.497004747390747,0.6738923297137235,1
99,3.5302388668060303,0.6712253986442293,1
100,3.5640628337860107,0.4486499715625346,1
101,3.5964877605438232,0.2561022132556828,1
102,3.631229877471924,0.021162108656965575,1
103,3.664252758026123,0.0077078811728627595,1
104,3.7006096839904785,0.002549786064849165,1
105,3.7328755855560303,0.0011425521083859912,1
106,3.7661776542663574,0.014947284322226828,1
107,3.796440839767456,0.01439250548752966,1
108,3.8297717571258545,0.033769667009199346,1
109,3.8643298149108887,0.0414996714796392,1
